Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
K.A.A. S.n.c.,S.n.c.,Legno e arredo,1995,56984067004,Micro impresa,3,0.19,+39 010 7504409,info@kaa.it,https://www.kaa.it,"Via Marconi, 108 - 25142 Brescia (BS)",25142,Brescia,BS,"Da oltre 30 anni siamo specializzati nel settore legno e arredo. La nostra azienda, con sede a Brescia, conta 3 collaboratori e un fatturato di 0.19 milioni di euro."
Ecobuild,Ditta individuale,Commercio,2019,97364371681,Micro impresa,2,0.1,+39 011 9242937,amministrazione@ecobuild.it,https://www.ecobuild.it,"Via IV Novembre, 51 - 65064 Prato (PO)",65064,Prato,PO,"Da oltre 6 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Prato, conta 2 collaboratori e un fatturato di 0.1 milioni di euro."
Legnosystem S.a.s.,S.a.s.,Chimica,2013,10252660369,Piccola impresa,38,7.04,+39 081 7644622,vendite@legnosystem.it,https://www.legnosystem.it,"Via delle Industrie, 91 - 90046 Prato (PO)",90046,Prato,PO,Azienda a conduzione familiare con 12 anni di esperienza nel settore chimica. Siamo una piccola impresa con 38 dipendenti e un fatturato annuo di 7.04 milioni di euro.
Ferrari Costruzioni,Ditta individuale,Servizi alla persona,1988,08118358967,Piccola impresa,14,4.7,+39 02 3950306,ufficio@ferraricostruzioni.it,https://www.ferraricostruzioni.it,"Via Europa, 37 - 78064 Bergamo (BG)",78064,Bergamo,BG,"Realtà imprenditoriale italiana fondata nel 1988, specializzata nel settore servizi alla persona. La nostra struttura conta 14 professionisti qualificati e ha un fatturato di 4.7 milioni di euro."
Umbria Stampa S.r.l.,S.r.l.,Meccanica,2023,24991078469,Piccola impresa,40,6.52,+39 06 2463760,umbriastampa@gmail.com,,"Via Bologna, 124 - 47028 Bolzano (BZ)",47028,Bolzano,BZ,"Realtà imprenditoriale italiana fondata nel 2023, specializzata nel settore meccanica. La nostra struttura conta 40 professionisti qualificati e ha un fatturato di 6.52 milioni di euro."
Tessilesolutions,Ditta individuale,Meccanica,2005,05389520360,Micro impresa,6,0.49,+39 02 7552647,info@tessilesolutions.it,https://www.tessilesolutions.it,"Via Galilei, 32 - 40133 Bologna (BO)",40133,Bologna,BO,"Realtà imprenditoriale italiana fondata nel 2005, specializzata nel settore meccanica. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 0.49 milioni di euro."
Romagna Meccanica S.r.l.,S.r.l.,Servizi alla persona,1999,71254905631,Micro impresa,6,1.91,+39 055 6069619,amministrazione@romagnameccanica.it,https://www.romagnameccanica.it,"Via Marconi, 29 - 32092 Venezia (VE)",32092,Venezia,VE,Azienda a conduzione familiare con 26 anni di esperienza nel settore servizi alla persona. Siamo una micro impresa con 6 dipendenti e un fatturato annuo di 1.91 milioni di euro.
Mecfood S.r.l.,S.r.l.,Servizi alle imprese,2011,89205220739,Piccola impresa,14,6.05,+39 045 9041477,mecfood@outlook.it,https://www.mecfood.it,"Via Venezia, 106 - 35176 Padova (PD)",35176,Padova,PD,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore servizi alle imprese. La nostra struttura conta 14 professionisti qualificati e ha un fatturato di 6.05 milioni di euro."
G.N.F. S.p.A.,S.p.A.,Artigianato,1998,17897388611,Micro impresa,5,0.91,+39 051 4475482,amministrazione@gnf.it,,"Via Europa, 119 - 00117 Roma (RM)",00117,Roma,RM,"Realtà imprenditoriale italiana fondata nel 1998, specializzata nel settore artigianato. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 0.91 milioni di euro."
Cartacomponents S.n.c.,S.n.c.,Artigianato,2020,49278013607,Micro impresa,7,0.78,+39 370 9608670,ufficio@cartacomponents.it,https://www.cartacomponents.it,"Via IV Novembre, 41 - 81034 Pescara (PE)",81034,Pescara,PE,Azienda a conduzione familiare con 5 anni di esperienza nel settore artigianato. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 0.78 milioni di euro.
Moretti & Esposito S.n.c.,S.n.c.,Turismo,2022,99985153107,Micro impresa,5,0.93,+39 051 1382207,morettieesposito@libero.it,https://www.morettieesposito.it,"Via del Lavoro, 148 - 80103 Napoli (NA)",80103,Napoli,NA,"Fondata nel 2022, la nostra azienda opera nel settore turismo con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Cartatech S.n.c.,S.n.c.,Agricoltura,2010,91061795109,Micro impresa,6,1.58,+39 091 1679734,vendite@cartatech.it,,"Via Venezia, 17 - 80195 Napoli (NA)",80195,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2010, specializzata nel settore agricoltura. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.58 milioni di euro."
M.O. S.a.s.,S.a.s.,Chimica,1985,26177248182,Micro impresa,1,1.6,+39 010 7447303,mo@virgilio.it,,"Via Bologna, 54 - 80107 Napoli (NA)",80107,Napoli,NA,"Da oltre 40 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Napoli, conta 1 collaboratori e un fatturato di 1.6 milioni di euro."
Romano Servizi S.r.l.,S.r.l.,Servizi alla persona,2016,83345676583,Micro impresa,5,1.1,+39 010 1320392,vendite@romanoservizi.it,https://www.romanoservizi.it,"Viale delle Nazioni, 68 - 84018 Parma (PR)",84018,Parma,PR,Azienda a conduzione familiare con 9 anni di esperienza nel settore servizi alla persona. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 1.1 milioni di euro.
Emilia Plastica S.a.s.,S.a.s.,Turismo,2004,53155626226,Micro impresa,2,1.96,+39 02 1251828,info@emiliaplastica.it,https://www.emiliaplastica.it,"Via Galilei, 183 - 88081 Perugia (PG)",88081,Perugia,PG,"Fondata nel 2004, la nostra azienda opera nel settore turismo con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Marino Trasporti,Ditta individuale,Manifatturiero,2019,91687500245,Piccola impresa,39,2.03,+39 010 1174889,vendite@marinotrasporti.it,https://www.marinotrasporti.it,"Via Galilei, 79 - 10070 Vicenza (VI)",10070,Vicenza,VI,"Da oltre 6 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Vicenza, conta 39 collaboratori e un fatturato di 2.03 milioni di euro."
Lombardi e Conti S.a.s.,S.a.s.,Edilizia,2010,55216355935,Micro impresa,4,1.55,+39 345 3519492,vendite@lombardieconti.it,https://www.lombardieconti.it,"Via Edison, 142 - 40166 Bologna (BO)",40166,Bologna,BO,"PMI italiana attiva nel settore edilizia dal 2010. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bruno Meccanica S.a.s.,S.a.s.,Chimica,2004,98362378258,Micro impresa,6,0.81,+39 370 6647058,brunomeccanica@outlook.it,https://www.brunomeccanica.it,"Via Roma, 47 - 35099 Perugia (PG)",35099,Perugia,PG,Azienda a conduzione familiare con 21 anni di esperienza nel settore chimica. Siamo una micro impresa con 6 dipendenti e un fatturato annuo di 0.81 milioni di euro.
Esposito Costruzioni S.r.l.s.,S.r.l.s.,Legno e arredo,2016,03527264060,Micro impresa,2,1.3,+39 045 3835309,contatti@espositocostruzioni.it,https://www.espositocostruzioni.it,"Viale dell'Indipendenza, 136 - 54047 Trento (TN)",54047,Trento,TN,"Fondata nel 2016, la nostra azienda opera nel settore legno e arredo con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Stampaexport,Ditta individuale,Elettronica,2024,49914374547,Micro impresa,8,0.29,+39 051 4725543,info@stampaexport.it,https://www.stampaexport.it,"Via dell'Industria, 97 - 10188 Torino (TO)",10188,Torino,TO,"Realtà imprenditoriale italiana fondata nel 2024, specializzata nel settore elettronica. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 0.29 milioni di euro."
Marche Legno,Ditta individuale,Chimica,2000,67418795511,Micro impresa,2,0.13,+39 010 7925811,info@marchelegno.it,https://www.marchelegno.it,"Via Galilei, 117 - 15071 Varese (VA)",15071,Varese,VA,"PMI italiana attiva nel settore chimica dal 2000. Con 2 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Moretti e Mancini S.a.s.,S.a.s.,Chimica,2018,83186651110,Micro impresa,6,0.15,+39 055 8080092,contatti@morettiemancini.it,https://www.morettiemancini.it,"Via Roma, 18 - 41012 Catania (CT)",41012,Catania,CT,"PMI italiana attiva nel settore chimica dal 2018. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Toscana Plastica S.r.l.,S.r.l.,Tessile,2008,43886939004,Micro impresa,6,1.11,+39 02 2919969,vendite@toscanaplastica.it,https://www.toscanaplastica.it,"Viale delle Nazioni, 142 - 30029 Bolzano (BZ)",30029,Bolzano,BZ,"Fondata nel 2008, la nostra azienda opera nel settore tessile con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
S.W.S. S.n.c.,S.n.c.,Agricoltura,2001,34259860349,Micro impresa,8,0.26,+39 055 2885443,ufficio@sws.it,https://www.sws.it,"Via del Lavoro, 106 - 23015 Catania (CT)",23015,Catania,CT,"Fondata nel 2001, la nostra azienda opera nel settore agricoltura con 8 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Y.U.H. S.r.l.s.,S.r.l.s.,Legno e arredo,2019,43210683490,Micro impresa,8,1.8,+39 049 3458767,amministrazione@yuh.it,https://www.yuh.it,"Via XX Settembre, 155 - 88098 Trento (TN)",88098,Trento,TN,Azienda a conduzione familiare con 6 anni di esperienza nel settore legno e arredo. Siamo una micro impresa con 8 dipendenti e un fatturato annuo di 1.8 milioni di euro.
Edisystem S.p.A.,S.p.A.,Servizi alla persona,2013,92898800751,Piccola impresa,27,9.32,+39 340 8494717,info@edisystem.it,https://www.edisystem.it,"Via dell'Artigianato, 117 - 50074 Monza (MB)",50074,Monza,MB,"PMI italiana attiva nel settore servizi alla persona dal 2013. Con 27 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Esposito Servizi S.r.l.,S.r.l.,Edilizia,1999,01029351949,Micro impresa,5,0.79,+39 010 2278043,espositoservizi@libero.it,,"Via dell'Artigianato, 140 - 00188 Roma (RM)",00188,Roma,RM,Azienda a conduzione familiare con 26 anni di esperienza nel settore edilizia. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 0.79 milioni di euro.
Romano Servizi,Ditta individuale,Meccanica,2006,96329944738,Micro impresa,7,1.55,+39 393 7953202,amministrazione@romanoservizi.it,https://www.romanoservizi.it,"Via Marconi, 107 - 50175 Firenze (FI)",50175,Firenze,FI,Azienda a conduzione familiare con 19 anni di esperienza nel settore meccanica. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 1.55 milioni di euro.
Esposito Costruzioni S.r.l.,S.r.l.,ICT,2007,10344895615,Micro impresa,3,1.92,+39 02 9083645,ufficio@espositocostruzioni.it,https://www.espositocostruzioni.it,"Via Bologna, 126 - 40139 Bologna (BO)",40139,Bologna,BO,"PMI italiana attiva nel settore ict dal 2007. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
M.K.,Ditta individuale,Elettronica,2011,36567900383,Piccola impresa,26,4.29,+39 06 8853429,ufficio@mk.it,https://www.mk.it,"Via Europa, 116 - 50199 Firenze (FI)",50199,Firenze,FI,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore elettronica. La nostra struttura conta 26 professionisti qualificati e ha un fatturato di 4.29 milioni di euro."
Metalprom S.r.l.,S.r.l.,Servizi alla persona,2019,97073641692,Piccola impresa,40,7.31,+39 360 9688751,vendite@metalprom.it,,"Via XX Settembre, 65 - 43042 Perugia (PG)",43042,Perugia,PG,"PMI italiana attiva nel settore servizi alla persona dal 2019. Con 40 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Greco - Ferrari S.n.c.,S.n.c.,Agricoltura,2012,23076184658,Micro impresa,9,1.47,+39 051 2332143,info@grecoferrari.it,https://www.grecoferrari.it,"Viale della Libertà, 111 - 87096 Como (CO)",87096,Como,CO,"Fondata nel 2012, la nostra azienda opera nel settore agricoltura con 9 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bruno & Rossi S.a.s.,S.a.s.,Servizi alle imprese,2013,37461996105,Micro impresa,6,1.84,+39 338 8026626,contatti@brunoerossi.it,,"Via Milano, 54 - 70153 Bari (BA)",70153,Bari,BA,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore servizi alle imprese. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.84 milioni di euro."
H.U.Z.G.,Ditta individuale,Servizi alle imprese,1999,54053699246,Micro impresa,8,0.06,+39 06 4116774,huzg@libero.it,https://www.huzg.it,"Viale della Libertà, 58 - 44067 Trento (TN)",44067,Trento,TN,"Realtà imprenditoriale italiana fondata nel 1999, specializzata nel settore servizi alle imprese. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 0.06 milioni di euro."
W.C.,Ditta individuale,Elettronica,2004,72034563129,Micro impresa,4,1.98,+39 06 9314321,wc@libero.it,https://www.wc.it,"Via Mazzini, 118 - 60068 Bolzano (BZ)",60068,Bolzano,BZ,"Fondata nel 2004, la nostra azienda opera nel settore elettronica con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Lombardi - Ricci S.a.s.,S.a.s.,Alimentare,2012,87625815962,Micro impresa,2,1.67,+39 011 727560,amministrazione@lombardiricci.it,https://www.lombardiricci.it,"Via dell'Artigianato, 182 - 12041 Parma (PR)",12041,Parma,PR,"Fondata nel 2012, la nostra azienda opera nel settore alimentare con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
F.O.P. S.a.s.,S.a.s.,Agricoltura,2014,03964719141,Micro impresa,5,0.35,+39 051 4438676,amministrazione@fop.it,https://www.fop.it,"Viale della Libertà, 143 - 40178 Bologna (BO)",40178,Bologna,BO,"Da oltre 11 anni siamo specializzati nel settore agricoltura. La nostra azienda, con sede a Bologna, conta 5 collaboratori e un fatturato di 0.35 milioni di euro."
Rossi e Giordano,Ditta individuale,Legno e arredo,2019,94361961670,Piccola impresa,30,9.86,+39 02 264145,ufficio@rossiegiordano.it,,"Via Dante, 180 - 33029 Perugia (PG)",33029,Perugia,PG,"PMI italiana attiva nel settore legno e arredo dal 2019. Con 30 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Ricci - Bruno,Ditta individuale,Servizi alle imprese,2020,04783027697,Micro impresa,5,1.07,+39 350 3506425,riccibruno@legalmail.it,https://www.riccibruno.it,"Via Dante, 103 - 55070 Bergamo (BG)",55070,Bergamo,BG,"PMI italiana attiva nel settore servizi alle imprese dal 2020. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Agrisystem Società cooperativa,Società cooperativa,Metalmeccanica,2007,97385600287,Micro impresa,7,1.42,+39 392 6002582,amministrazione@agrisystem.it,https://www.agrisystem.it,"Viale delle Nazioni, 103 - 25175 Brescia (BS)",25175,Brescia,BS,Azienda a conduzione familiare con 18 anni di esperienza nel settore metalmeccanica. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 1.42 milioni di euro.
Q.R.G. S.n.c.,S.n.c.,Edilizia,2015,56782174280,Micro impresa,4,1.32,+39 380 9749544,vendite@qrg.it,https://www.qrg.it,"Via Europa, 104 - 50106 Firenze (FI)",50106,Firenze,FI,Azienda a conduzione familiare con 10 anni di esperienza nel settore edilizia. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.32 milioni di euro.
O.Z. S.a.s.,S.a.s.,Plastica,2021,87869171043,Media impresa,162,12.14,+39 010 8568178,info@oz.it,https://www.oz.it,"Viale della Repubblica, 2 - 85084 Prato (PO)",85084,Prato,PO,Azienda a conduzione familiare con 4 anni di esperienza nel settore plastica. Siamo una media impresa con 162 dipendenti e un fatturato annuo di 12.14 milioni di euro.
Mancini e Mancini,Ditta individuale,Edilizia,2010,63927967587,Micro impresa,3,1.66,+39 330 1261238,amministrazione@manciniemancini.it,,"Via XXV Aprile, 117 - 67030 Catania (CT)",67030,Catania,CT,"PMI italiana attiva nel settore edilizia dal 2010. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Esposito e Esposito,Ditta individuale,Turismo,1998,02581935524,Micro impresa,1,0.53,+39 011 6116245,espositoeesposito@gmail.com,https://www.espositoeesposito.it,"Viale della Libertà, 178 - 73048 Como (CO)",73048,Como,CO,"Da oltre 27 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Como, conta 1 collaboratori e un fatturato di 0.53 milioni di euro."
Romano Costruzioni,Ditta individuale,Chimica,1993,85545405139,Micro impresa,3,0.87,+39 049 5292374,amministrazione@romanocostruzioni.it,https://www.romanocostruzioni.it,"Via I Maggio, 164 - 22088 Treviso (TV)",22088,Treviso,TV,Azienda a conduzione familiare con 32 anni di esperienza nel settore chimica. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 0.87 milioni di euro.
Umbria Stampa S.a.s.,S.a.s.,Artigianato,2009,83478689087,Micro impresa,3,1.0,+39 329 3824860,ufficio@umbriastampa.it,https://www.umbriastampa.it,"Via del Lavoro, 21 - 70119 Bari (BA)",70119,Bari,BA,"Fondata nel 2009, la nostra azienda opera nel settore artigianato con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
O.A. S.r.l.,S.r.l.,Trasporti,2011,40316370954,Piccola impresa,39,2.4,+39 347 9481965,contatti@oa.it,https://www.oa.it,"Via dell'Industria, 163 - 66028 Trento (TN)",66028,Trento,TN,"Fondata nel 2011, la nostra azienda opera nel settore trasporti con 39 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
L.U.F.Z. S.r.l.,S.r.l.,Commercio,2023,25987052575,Micro impresa,4,0.61,+39 055 240914,info@lufz.it,https://www.lufz.it,"Via Fermi, 64 - 80059 Monza (MB)",80059,Monza,MB,"PMI italiana attiva nel settore commercio dal 2023. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Stampaitalia S.r.l.,S.r.l.,Metalmeccanica,1995,89284034028,Micro impresa,3,0.87,+39 051 8986415,contatti@stampaitalia.it,https://www.stampaitalia.it,"Via XX Settembre, 103 - 31074 Vicenza (VI)",31074,Vicenza,VI,"PMI italiana attiva nel settore metalmeccanica dal 1995. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Mancini - Ricci S.r.l.,S.r.l.,Servizi alla persona,1998,92673805839,Micro impresa,1,0.58,+39 081 1799963,info@manciniricci.it,,"Via XX Settembre, 80 - 44060 Treviso (TV)",44060,Treviso,TV,"Realtà imprenditoriale italiana fondata nel 1998, specializzata nel settore servizi alla persona. La nostra struttura conta 1 professionisti qualificati e ha un fatturato di 0.58 milioni di euro."
